names,scores,logfoldchanges,pvals,pvals_adj,group,sample_id
Dsp,40.863384,7.9017673,0.0,0.0,8,p30_R4p_ctrl
Ptprj,34.35962,3.2614703,1.0117445578510205e-258,4.8563738776848984e-256,8,p30_R4p_ctrl
Gria2,33.412468,2.5804975,9.035856961895581e-245,2.891474227806586e-242,8,p30_R4p_ctrl
Gria1,32.457787,2.6773906,4.206260266018456e-231,1.0095024638444294e-228,8,p30_R4p_ctrl
Epha7,29.889078,4.0171976,2.728525456357483e-196,5.238768876206367e-194,8,p30_R4p_ctrl
Grin2a,28.295275,2.8137393,3.950958975781126e-176,6.321534361249802e-174,8,p30_R4p_ctrl
Grin1,26.85235,2.4340138,7.917908903853851e-159,1.0858846496713853e-156,8,p30_R4p_ctrl
Camk2b,26.713392,3.298846,3.289854999309892e-157,3.9478259991718705e-155,8,p30_R4p_ctrl
Zbtb20,25.183289,2.0887182,6.106406006188191e-140,5.862149765940664e-138,8,p30_R4p_ctrl
Plxna4,23.617132,3.6209528,2.5701073686538465e-123,2.243002794461539e-121,8,p30_R4p_ctrl
Cplx2,21.964169,1.9084743,6.340727115360798e-107,4.6823831005741276e-105,8,p30_R4p_ctrl
Nfib,21.119095,1.9048603,5.31033918594539e-99,3.641375441791125e-97,8,p30_R4p_ctrl
Epha4,20.495382,2.1209924,2.3672007059809616e-93,1.5150084518278154e-91,8,p30_R4p_ctrl
Dnm1,20.168732,1.3789473,1.8430667959866255e-90,1.1058400775919752e-88,8,p30_R4p_ctrl
Grik2,19.77374,2.6288524,5.011795413119828e-87,2.8301903509382555e-85,8,p30_R4p_ctrl
Prox1,19.425032,4.138578,4.740920067452307e-84,2.5284907026412305e-82,8,p30_R4p_ctrl
Nsf,19.22213,1.6240748,2.4164040652414542e-82,1.220919948753577e-80,8,p30_R4p_ctrl
Neurod2,17.85676,2.9521928,2.5608313201480076e-71,1.1174536669736762e-69,8,p30_R4p_ctrl
Stxbp6,16.583418,4.1573324,9.1852643467991e-62,3.6741057387196397e-60,8,p30_R4p_ctrl
Stxbp1,16.177355,1.0320714,7.285883615149744e-59,2.7977793082175014e-57,8,p30_R4p_ctrl
Adcy1,16.174377,2.4762583,7.6467145636468775e-59,2.8234023004234626e-57,8,p30_R4p_ctrl
Tiam1,15.264899,4.144767,1.3103065065453472e-52,4.658867578827901e-51,8,p30_R4p_ctrl
Nrcam,14.801232,1.9924687,1.4382298125157733e-49,4.9310736429112225e-48,8,p30_R4p_ctrl
Epb41l1,14.317155,1.2881527,1.7098175542483447e-46,5.471416173594703e-45,8,p30_R4p_ctrl
Fam163b,13.967295,4.6627283,2.468269715488874e-44,7.643673957642964e-43,8,p30_R4p_ctrl
C1ql3,13.591337,5.036824,4.5076696042211116e-42,1.3113220666825052e-40,8,p30_R4p_ctrl
Frrs1l,13.410516,1.2926625,5.247282267509162e-41,1.4815855814143515e-39,8,p30_R4p_ctrl
Cntnap1,13.036006,1.7078674,7.635342783942352e-39,2.094265449309902e-37,8,p30_R4p_ctrl
Sptan1,12.8280325,1.1150448,1.1422756081245725e-37,3.046068288332194e-36,8,p30_R4p_ctrl
Ntrk3,12.745478,2.9348605,3.303606827391922e-37,8.571520417016878e-36,8,p30_R4p_ctrl
Dlgap1,12.706302,1.2270123,5.455385966886818e-37,1.378202770581933e-35,8,p30_R4p_ctrl
Atp1a1,11.9531,1.8333677,6.254797431306317e-33,1.5396424446292471e-31,8,p30_R4p_ctrl
Atp1a3,11.917087,0.77653044,9.642122914629145e-33,2.314109499510995e-31,8,p30_R4p_ctrl
Tanc1,11.747415,2.3621485,7.28125200002342e-32,1.7048785170786545e-30,8,p30_R4p_ctrl
Cacna2d1,11.448997,1.9049668,2.3788371495468857e-30,5.437342056107168e-29,8,p30_R4p_ctrl
Srgap3,11.22802,1.3169893,2.9706071858957494e-29,6.6320532522323705e-28,8,p30_R4p_ctrl
Trpc4,11.133267,2.2011824,8.640870457175276e-29,1.8852808270200605e-27,8,p30_R4p_ctrl
Camkk1,10.966014,2.7555006,5.567284653230889e-28,1.1876873926892563e-26,8,p30_R4p_ctrl
Calm1,10.834243,0.66610664,2.3691706121390485e-27,4.944356060116275e-26,8,p30_R4p_ctrl
Trpc6,10.700349,4.8301535,1.0139543627977088e-26,2.0279087255954175e-25,8,p30_R4p_ctrl
Gabbr2,10.632589,1.9396328,2.1019460299423325e-26,4.1180983443768147e-25,8,p30_R4p_ctrl
Plcb1,10.555051,1.221379,4.8137979721343805e-26,9.24249210649801e-25,8,p30_R4p_ctrl
Unc13a,10.478119,1.8059759,1.0888829191719641e-25,2.010245389240549e-24,8,p30_R4p_ctrl
Adcy2,9.738699,1.5732534,2.0617786530264133e-22,3.5987409216461034e-21,8,p30_R4p_ctrl
Kcnd2,9.556264,2.1845481,1.22084356019751e-21,2.0561575750694905e-20,8,p30_R4p_ctrl
Atp6v0a1,9.527611,1.3576262,1.6094437409684037e-21,2.618755917507911e-20,8,p30_R4p_ctrl
Rapgef2,9.520617,1.1857297,1.7215474583184667e-21,2.754475933309547e-20,8,p30_R4p_ctrl
Arhgef9,9.443429,1.5281506,3.6077390413470696e-21,5.677753245398667e-20,8,p30_R4p_ctrl
Sema5a,9.28676,3.331515,1.5905534124183566e-20,2.4627923805187456e-19,8,p30_R4p_ctrl
Ncam1,8.90332,1.5964866,5.420055094630988e-19,8.130082641946482e-18,8,p30_R4p_ctrl
Epha6,34.572132,6.8812675,6.628866674684933e-262,6.363712007697536e-259,2,p30_R4p_ctrl
Gria1,34.024334,2.9292035,9.73009849877209e-254,4.670447279410603e-251,2,p30_R4p_ctrl
Snhg11,32.476566,3.3375673,2.284566706020829e-231,7.310613459266652e-229,2,p30_R4p_ctrl
Grin2a,30.808706,3.2468822,2.0034399609124655e-208,4.8082559061899174e-206,2,p30_R4p_ctrl
Dnm1,30.698544,2.187547,5.95226853589224e-207,1.1428355588913101e-204,2,p30_R4p_ctrl
Prkca,28.444065,2.8874621,5.770407876080174e-178,9.232652601728278e-176,2,p30_R4p_ctrl
Neurod6,26.752562,4.9733434,1.1529137549463725e-157,1.383496505935647e-155,2,p30_R4p_ctrl
Atp1a3,26.026285,1.677703,2.4969142378179777e-149,2.663375187005843e-147,2,p30_R4p_ctrl
