4,2,8,5,6,12,11,7,10,15,16,14,19,9,18,0,1,3,13,17,20
Atp1a3,Plcb1,Zbtb20,Mfge8,Satb2,Gria1,Cldn5,Ubc,Chd6,Neo1,Sparcl1,Pdgfra,C1qb,Erbb4,Pdgfrb,Atp1a3,Snhg11,Stxbp1,Nrp2,Nfib,Foxj1
Cadm1,Mdga1,Ptprs,Atp1a2,Itpr1,Erbb4,Sparcl1,Stxbp1,Pax6,Atp1a3,Atp1a2,Olig2,Csf1r,Sox1,Sparcl1,Stxbp1,Tcf7l2,Snhg11,Atp1a3,Arhgef2,Jam3
Nrcam,Cd70,Nfib,Sox9,Gria2,Nxph1,Apcdd1,Atp1a3,Plxnb1,Robo1,Col3a1,Sox10,Laptm5,Gad1,Rgs4,Sdc3,Robo2,Calm1,Ubc,Zbtb20,Pak4
Nr4a2,Prex2,Sox11,Vim,Plxna4,Ptprm,Cdh5,Gabra4,Id4,Grik2,Bmp7,Chd7,Apoe,Sox4,Atp1a2,Grin1,Grik1,Grik2,Robo3,Lhx1,Ccdc80
Gria2,Gng10,Nfix,Sparcl1,Slitrk1,Atp1a3,Vim,Snhg11,Chd7,Crmp1,Apcdd1,Cntn1,C1qa,Cnr1,Lamb1,Syn1,Syt1,Unc13b,Adcy2,Crip2,Sox1
Grik3,Cdk6,Gria2,Slc6a11,Cadm1,Lhx6,Ubc,Ndnf,Cdh2,Gnao1,Cxcl12,Olig1,Pld4,Sox2,Ubc,Dnm1,Gabbr1,Crmp1,Grin2a,Top2a,Pak2
Stxbp1,Robo1,Epha4,Olig2,Neurod2,Cux2,Ptprm,Gabra5,Vcan,Ncam1,Pdgfra,Cspg4,Mrc1,Dlx2,Sema6d,Sox1,Calm1,Idh2,Dpysl2,Htra1,Fabp7
Fezf2,Creb1,Nrp1,Slc1a2,Ncam1,Grik3,Sema7a,Atp6v0d1,Tnfrsf19,Fezf2,Lamb1,Kcnd2,Hpgds,Slc32a1,Apcdd1,Gria1,Srgap1,Dnm1,Gnao1,Tead1,Meis2
Dync1i1,Pou3f3,Ttc28,Fabp7,Cacna2d1,Dnm1,Mpzl1,Pak6,Cdh4,Dpysl2,Axin2,Kcnip3,Ubc,Dlx1,Cldn5,Cdh4,Sdc3,Grik1,Rhob,Sptan1,Mfge8
Crmp1,Itgb2l,Satb2,Ptprz1,Tubb3,Epb41l1,Pecam1,Hoxa9,Apcdd1,Gria1,Ubc,Ubc,Ptprj,Nfib,Vim,Sox2,Cacna1b,Cntn6,Axin2,Cacna1a,Ankrd11
